INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
30x2_1_U_1_100__R_uni;678;643.0;663.3;-0.05;-0.02
25x6_5_U_10_100__R_inter;102;105.0;113.6;0.03;0.11
20x4_3_U_100_200__R_uni;637;637.0;639.5;0.00;0.00
25x6_5_U_10_100__R_uni;107;115.0;123.5;0.07;0.15
20x2_5_JobCorre_R_uni;569;563.0;564.1;-0.01;-0.01
20x2_5_U_1_100__R_inter;500;476.0;476.7;-0.05;-0.05
25x6_2_U_1_100__R_inter;89;89.0;95.2;0.00;0.07
25x6_5_U_100_200__R_uni;569;530.0;547.3;-0.07;-0.04
25x4_1_JobCorre_R_uni;427;413.0;416.1;-0.03;-0.03
20x4_4_U_1_100__R_inter;96;96.0;96.0;0.00;0.00
30x6_2_U_10_100__R_inter;127;127.0;134.7;0.00;0.06
25x6_3_JobCorre_R_uni;207;216.0;218.5;0.04;0.06
25x4_1_U_10_100__R_inter;175;175.0;177.7;0.00;0.02
20x4_3_U_10_100__R_inter;147;147.0;147.0;0.00;0.00
30x4_3_JobCorre_R_uni;481;493.0;497.1;0.02;0.03
25x2_1_JobCorre_R_uni;721;708.0;710.4;-0.02;-0.01
