Instance;min_sol;max_LB
20x6_4_MachCorre_R_uni;185;185
20x6_4_U_1_100__R_inter;51;51
20x6_4_U_1_100__R_uni;77;77
20x6_4_U_10_100__R_inter;76;76
20x6_4_U_10_100__R_uni;98;98
20x6_4_U_100_200__R_inter;420;420
20x6_4_U_100_200__R_uni;438;438
20x6_5_JobCorre_R_inter;164;158
20x6_5_JobCorre_R_uni;203;203
20x6_5_MachCorre_R_inter;143;143
20x6_5_MachCorre_R_uni;68;68
20x6_5_U_1_100__R_inter;61;61
20x6_5_U_1_100__R_uni;66;66
20x6_5_U_10_100__R_inter;88;88
20x6_5_U_10_100__R_uni;89;89
20x6_5_U_100_200__R_inter;428;428
20x6_5_U_100_200__R_uni;428;428
25x2_1_JobCorre_R_inter;768;650
25x2_1_JobCorre_R_uni;721;703
25x2_1_MachCorre_R_inter;1563;1098
25x2_1_MachCorre_R_uni;248;245
25x2_1_U_1_100__R_inter;632;510
25x2_1_U_1_100__R_uni;432;426
25x2_1_U_10_100__R_inter;677;581
25x2_1_U_10_100__R_uni;524;505
25x2_1_U_100_200__R_inter;1858;1757
25x2_1_U_100_200__R_uni;1783;1674
25x2_2_JobCorre_R_inter;785;722
25x2_2_JobCorre_R_uni;824;787
25x2_2_MachCorre_R_inter;1266;933
25x2_2_MachCorre_R_uni;760;760
25x2_2_U_1_100__R_inter;807;509
25x2_2_U_1_100__R_uni;565;534
25x2_2_U_10_100__R_inter;859;574
25x2_2_U_10_100__R_uni;629;596
25x2_2_U_100_200__R_inter;2138;1767
25x2_2_U_100_200__R_uni;1816;1767
25x2_3_JobCorre_R_inter;1009;743
25x2_3_JobCorre_R_uni;722;692
25x2_3_MachCorre_R_inter;185;185
25x2_3_MachCorre_R_uni;639;621
25x2_3_U_1_100__R_inter;414;386
25x2_3_U_1_100__R_uni;500;461
25x2_3_U_10_100__R_inter;485;467
25x2_3_U_10_100__R_uni;580;530
25x2_3_U_100_200__R_inter;1641;1641
25x2_3_U_100_200__R_uni;1804;1710
25x2_4_JobCorre_R_inter;846;769
25x2_4_JobCorre_R_uni;685;685
25x2_4_MachCorre_R_inter;324;324
25x2_4_MachCorre_R_uni;568;555
25x2_4_U_1_100__R_inter;544;409
25x2_4_U_1_100__R_uni;388;379
25x2_4_U_10_100__R_inter;594;488
25x2_4_U_10_100__R_uni;479;455
25x2_4_U_100_200__R_inter;1733;1652
